STATION,STATION LONG NAME,UNIT NAME,SEASONAL MAX MW (HSL),AVAILABLE MW AFTER OUTAGE/DERATE,MW REDUCTION FROM OUTAGE/DERATE,FUEL TYPE,START,END,RESOURCE ENTITY,COUNTY
OWF,OCOTILLO WINDFARM,OWF,59,0,59,WIND,2/16/21 4:50 PM,2/19/21 8:20 PM,OCOTILLO WINDPOWER LP (RE),HOWARD
BUFF_GAP,BUFFALO GAP WIND FARM,UNIT3,170,0,170,WIND,2/16/21 4:54 PM,2/16/21 8:28 PM,BUFFALO GAP WIND FARM 3 LLC (RE),TAYLOR
BORDAS2,JAVELINA WIND ENERGY PROJECT 2,JAVEL2_B,74,20,54,WIND,2/16/21 4:55 PM,2/17/21 12:08 PM,JAVELINA WIND ENERGY II LLC B (RE),WEBB
TNSKA,TENASKA (TXU),GT1,87,87,0,NG,2/16/21 5:04 PM,2/19/21 11:29 AM,PARIS GENERATION LP (RE),LAMAR
TNSKA,TENASKA (TXU),GT2,87,87,0,NG,2/16/21 5:04 PM,2/19/21 11:29 AM,PARIS GENERATION LP (RE),LAMAR
TNSKA,TENASKA (TXU),STG,89,66,23,NG,2/16/21 5:04 PM,2/19/21 11:29 AM,PARIS GENERATION LP (RE),LAMAR
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT1,169,15,154,WIND,2/16/21 5:37 PM,2/16/21 6:56 PM,SAGE DRAW WIND LLC (RE),LYNN
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT2,169,15,154,WIND,2/16/21 5:37 PM,2/16/21 6:56 PM,SAGE DRAW WIND LLC (RE),LYNN
BRAUNIG,BRAUNIG,VHB6CT8,47,42,5,NG,2/16/21 5:40 PM,2/17/21 1:48 AM,CPS ENERGY (RE),BEXAR
KEECHI,KEECHI WIND,U1,110,68,42,WIND,2/16/21 5:45 PM,2/17/21 4:40 PM,KEECHI WIND LLC (RE),JACK
ANACACHO,ANACACHO,ANA,100,60,40,WIND,2/16/21 5:51 PM,2/17/21 6:20 PM,ANACACHO WIND FARM LLC (RE),KINNEY
RAMBLER,RAMBLER SOLAR,UNIT1,200,150,50,SOLAR,2/16/21 6:01 PM,2/17/21 8:01 PM,RE RAMBLER LLC (RE),TOM GREEN
PANDA_T2,PANDA TEMPLE POWER II,TMPL2CT2,218,26,192,NG,2/16/21 6:14 PM,2/16/21 6:15 PM,PANDA TEMPLE POWER II LLC (RE),BELL
PANDA_T2,PANDA TEMPLE POWER II,TMPL2ST1,334,0,334,NG,2/16/21 6:14 PM,2/16/21 6:15 PM,PANDA TEMPLE POWER II LLC (RE),BELL
PANDA_T2,PANDA TEMPLE POWER II,TMPL2CT2,218,26,192,NG,2/16/21 6:15 PM,2/16/21 9:59 PM,PANDA TEMPLE POWER II LLC (RE),BELL
PANDA_T2,PANDA TEMPLE POWER II,TMPL2ST1,334,0,334,NG,2/16/21 6:15 PM,2/16/21 9:59 PM,PANDA TEMPLE POWER II LLC (RE),BELL
REDFISH,MAGIC VALLEY I,MV1A,100,94,6,WIND,2/16/21 6:16 PM,2/16/21 6:19 PM,MAGIC VALLEY WIND FARM I LLC (RE),WILLACY
SJS,SAN JACINTO STEAM,SJS_G2,87,60,27,NG,2/16/21 6:18 PM,2/17/21 4:43 AM,NRG TEXAS POWER LLC (RE),HARRIS
REDFISH,MAGIC VALLEY I,MV1A,100,55,45,WIND,2/16/21 6:19 PM,2/17/21 4:36 AM,MAGIC VALLEY WIND FARM I LLC (RE),WILLACY
REDFISH,MAGIC VALLEY I,MV1B,104,55,49,WIND,2/16/21 6:19 PM,2/17/21 4:36 AM,MAGIC VALLEY WIND FARM I LLC (RE),WILLACY
BLSUMMIT,BLUE SUMMIT,BLSMT1_6,124,114,10,WIND,2/16/21 6:38 PM,2/18/21 7:15 PM,BLUE SUMMIT WIND LLC (RE),WILBARGER
LEON_CRK,LEON CREEK,LCPCT1,46,32,14,NG,2/16/21 6:46 PM,2/19/21 6:37 AM,CPS ENERGY (RE),BEXAR
LEON_CRK,LEON CREEK,LCPCT2,46,32,14,NG,2/16/21 6:46 PM,2/19/21 6:54 AM,CPS ENERGY (RE),BEXAR
LEON_CRK,LEON CREEK,LCPCT3,46,32,14,NG,2/16/21 6:46 PM,2/19/21 7:00 AM,CPS ENERGY (RE),BEXAR
LEON_CRK,LEON CREEK,LCPCT4,46,32,14,NG,2/16/21 6:46 PM,2/19/21 7:00 AM,CPS ENERGY (RE),BEXAR
SHANNONW,SHANNON WIND PROJECT,UNIT_1,204,40,164,WIND,2/16/21 6:47 PM,2/16/21 10:38 PM,SHANNON WIND LLC (RE),CLAY
CVC,CHANNELVIEW COGEN,CVC_G5,144,0,144,NG,2/16/21 6:50 PM,2/17/21 2:11 PM,EIF CHANNELVIEW COGENERATION LLC (RE),HARRIS
PENA,PENASCAL WIND POWER,UNIT1,161,56,105,WIND,2/16/21 6:50 PM,2/17/21 4:09 AM,AVANGRID TEXAS RENEWABLES LLC (RE),KENEDY
PENA,PENASCAL WIND POWER,UNIT2,142,34,108,WIND,2/16/21 6:50 PM,2/17/21 4:07 AM,"AVANGRID TEXAS RENEWABLES LLC (RE)
AVANGRID TEXAS RENEWABLES LLC B (RE)",KENEDY
PAP1,PAPALOTE CREEK,PAP1,180,65,115,WIND,2/16/21 6:52 PM,2/17/21 7:19 PM,"PAPALOTE CREEK I LLC CPS (RE)
PAPALOTE CREEK I LLC (RE)",SAN PATRICIO
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT1,169,10,159,WIND,2/16/21 6:56 PM,2/16/21 10:40 PM,SAGE DRAW WIND LLC (RE),LYNN
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT2,169,10,159,WIND,2/16/21 6:56 PM,2/16/21 10:40 PM,SAGE DRAW WIND LLC (RE),LYNN
TAHOKA,TAHOKA WIND,UNIT_1,150,10,140,WIND,2/16/21 6:58 PM,2/17/21 2:42 AM,TAHOKA WIND LLC (RE),LYNN
TAHOKA,TAHOKA WIND,UNIT_2,150,10,140,WIND,2/16/21 6:58 PM,2/17/21 2:42 AM,TAHOKA WIND LLC (RE),LYNN
HLSES,HANDLEY SES,UNIT3,395,0,395,NG,2/16/21 6:59 PM,2/16/21 7:00 PM,EXGEN HANDLEY POWER LLC (RE),TARRANT
CEDROHIL,Cedro Hill Wind Farm,CHW1,75,0,75,WIND,2/16/21 7:00 PM,2/16/21 7:06 PM,CEDRO HILL WIND LLC (RE),WEBB
COTTON,PAPALOTE CREEK II,PAP2,200,0,200,WIND,2/16/21 7:00 PM,2/17/21 5:00 PM,PAPALOTE CREEK II LLC (RE),SAN PATRICIO
HLSES,HANDLEY SES,UNIT3,395,0,395,NG,2/16/21 7:00 PM,2/17/21 6:44 AM,EXGEN HANDLEY POWER LLC (RE),TARRANT
PROSPERO,PROSPERO SOLAR,UNIT1,154,0,154,SOLAR,2/16/21 7:00 PM,2/17/21 5:01 AM,PROSPERO ENERGY PROJECT LLC (RE),ANDREWS
CEDROHIL,Cedro Hill Wind Farm,CHW1,75,0,75,WIND,2/16/21 7:06 PM,2/16/21 7:19 PM,CEDRO HILL WIND LLC (RE),WEBB
CEDROHIL,Cedro Hill Wind Farm,CHW1,75,0,75,WIND,2/16/21 7:19 PM,2/16/21 7:22 PM,CEDRO HILL WIND LLC (RE),WEBB
CRANELL,CRANELL WIND,UNIT1,220,85,135,WIND,2/16/21 7:19 PM,2/17/21 1:02 AM,CRANELL WIND FARM LLC (RE),REFUGIO
CEDROHIL,Cedro Hill Wind Farm,CHW1,75,0,75,WIND,2/16/21 7:22 PM,2/17/21 2:56 AM,CEDRO HILL WIND LLC (RE),WEBB
STELLA,STELLA WIND,UNIT1,201,155,46,WIND,2/16/21 7:28 PM,2/17/21 12:59 AM,STELLA WIND FARM LLC (RE),KENEDY
TYLRWIND,TYLER BLUFF WIND,UNIT1,126,10,116,WIND,2/16/21 7:45 PM,2/17/21 11:16 PM,TYLER BLUFF WIND PROJECT LLC (RE),COOKE
KARAKAW2,KARANKAWA2 WIND FARM,UNIT3,100,86,14,WIND,2/16/21 8:00 PM,2/17/21 2:54 AM,KARANKAWA WIND LLC (RE),SAN PATRICIO
WIPOPA,WINCHESTER POWER PARK,WPP_G1,46,42,4,NG,2/16/21 8:00 PM,2/17/21 8:00 AM,LOWER COLORADO RIVER AUTHORITY (RE),FAYETTE
AVIATOR,AVIATOR WIND,UNIT1,180,10,170,WIND,2/16/21 8:27 PM,2/18/21 3:25 PM,AVIATOR WIND LLC (RE),COKE
AVIATOR,AVIATOR WIND,UNIT2,146,10,136,WIND,2/16/21 8:27 PM,2/18/21 3:25 PM,AVIATOR WIND LLC (RE),COKE
BUFF_GAP,BUFFALO GAP WIND FARM,UNIT3,170,0,170,WIND,2/16/21 8:28 PM,2/20/21 9:45 AM,BUFFALO GAP WIND FARM 3 LLC (RE),TAYLOR
RTS2,RTS2 WIND PROJECT,U1,90,30,60,WIND,2/16/21 8:45 PM,2/16/21 10:00 PM,HEART OF TEXAS WIND LLC (RE),MCCULLOCH
RTS2,RTS2 WIND PROJECT,U2,90,30,60,WIND,2/16/21 8:45 PM,2/16/21 10:00 PM,HEART OF TEXAS WIND LLC (RE),MCCULLOCH
DDPEC,DEER PARK ENERGY CENTER,GT3,203,0,203,NG,2/16/21 8:54 PM,2/20/21 11:59 PM,CALPINE CORP (RE),HARRIS
SCES,Sandy Creek Energy Station,UNIT1,933,860,73,COAL,2/16/21 8:54 PM,3/5/21 11:59 PM,"LOWER COLORADO RIVER AUTHORITY (RE)
SANDY CREEK ENERGY ASSOCIATES LP (RE)
BRAZOS SANDY CREEK ELECTRIC COOPERATIVE INC (RE)
SANDY CREEK ENERGY ASSOCIATES LP TWO (RE)",MCLENNAN
BBREEZE,BRUENNINGS BREEZE,UNIT1,120,45,75,WIND,2/16/21 8:59 PM,2/17/21 1:10 AM,BRUENNINGS BREEZE WIND FARM LLC (RE),WILLACY
